"DROP","Participant","Age","Gender","Year","Anchortype","magnitude","Condition","pen","Proteindrink","lebron","slidy","Cheese","Figurine","TV","beachhouse","number","Notes"
0,5,19,"f","soph ","round",0,4,3.8,9.94,0.497,30,4.5,30,3800,775000,9928,"                                                                                                            "
0,7,21,"m","jr   ","round",0,4,3.8,9,0.49,30,3,20,4000,750000,9800,"                                                                                                            "
0,19,18,"m","frosh","round",0,4,3.8,9.6,0.497,38,4.79,40,4800,795000,9500,"                                                                                                            "
0,25,19,"f","frosh","round",0,4,3.8,9.9,0.48,35,4.5,25,4750,780000,9900,"                                                                                                            "
0,27,21,"f","jr   ","round",0,4,0.5,5,0.4,20,4,20,4900,700,9000,"                                                                                                            "
0,33,21,"f","jr   ","round",0,4,3.7,9,0.43,36,3,50,4100,750000,9998,"                                                                                                            "
0,38,20,"m","soph ","round",0,4,3,8,0.482,35,0.8,15,4999,780000,9782,"                                                                                                            "
0,43,22,"f","sr   ","round",0,4,3.7,9.9,0.49,40,4.5,40,4950,7e+05,9999,"                                                                                                            "
0,47,19,"m","soph ","round",0,4,3.7,9.6,NA,38,4.6,45,4200,798000,9941,"                                                                                                            "
0,50,22,"m","sr   ","round",0,4,3.5,9.5,0.409,35,3,35,4200,725000,9800,"1 headphone in ear                                                                                          "
0,54,19,"f","soph ","round",0,4,3.6,9.9,0.47,15,0.75,20,550,689999,12,"headphones in ears                                                                                          "
0,58,21,"m","jr   ","round",0,4,3.8,9.5,0.485,37,3.5,35,4000,780000,9850,"                                                                                                            "
0,62,20,"m","soph ","round",0,4,3.5,9.8,0.485,30,2,35,4800,650000,9600,"                                                                                                            "
0,65,20,"f","soph ","round",0,4,3,8.5,0.53,32,4,30,4100,780000,9996,"1 headphone in ear                                                                                          "
0,73,19,"m","frosh","round",0,4,3.6,7,0.48,38,3,15,4000,750000,98512,"                                                                                                            "
0,77,19,"f","soph ","round",0,4,3.9,9.8,0.498,38,4.8,49.5,4999,799999,9998,"talked about survey when done and other still taking                                                        "
0,85,19,"f","frosh","round",0,4,3,8,0.46,35,2,40,4500,705000,8500,"                                                                                                            "
0,89,19,"f","frosh","round",0,4,3.8,9,0.49,38,3,40,3500,750000,9800,"                                                                                                            "
0,93,19,"f","soph ","round",0,4,4.5,9.5,NA,36,1,10,4000,5e+05,8979,"chatted w/ friends                                                                                          "
0,97,20,"m","soph ","round",0,4,3.55,5,0.47,37,2.5,30,3575,730000,8963,"                                                                                                            "
0,101,18,"m","frosh","round",0,4,3.5,8.7,0.479,30,0.85,30,4689,780000,9876,"chatted w/ friends and asked me ""do I get $ for this?""                                                      "
0,105,20,"m","soph ","round",0,4,3.9,9,0.492,36,4.2,25,4500,785000,9896,"                                                                                                            "
0,109,20,"f","jr   ","round",0,4,3.6,9.2,0.485,38,4.95,30,4600,710000,9987,"Got LeBron ave from friend (only discussed this answer)                                                     "
0,111,19,"f","soph ","round",0,4,3,9.5,0.48,35,3,25,4500,780000,9999,"                                                                                                            "
0,118,18,"m","frosh","round",0,4,NA,8,0.48,39,4.5,40,4000,775000,9990,"                                                                                                            "
0,119,21,"m","jr   ","round",0,4,3,9,0.45,38,4,45,4800,780000,9999,"                                                                                                            "
0,125,19,"f","soph ","round",0,4,3,9.5,0.48,45,3,30,4750,7e+05,9950,"                                                                                                            "
