Participant,mean_underestimation,Anchortype_num,magnitude,Anchortype,Motivation
5,0.12116111111111112,0,0,Round,Weak
7,0.18916666666666668,0,0,Round,Weak
19,0.053805555555555565,0,0,Round,Weak
25,0.10111111111111112,0,0,Round,Weak
27,0.4437916666666667,0,0,Round,Weak
33,0.11752222222222224,0,0,Round,Weak
38,0.24422222222222217,0,0,Round,Weak
43,0.06001111111111111,0,0,Round,Weak
50,0.16175,0,0,Round,Weak
54,0.4745890277777777,0,0,Round,Weak
58,0.11611111111111111,0,0,Round,Weak
62,0.17694444444444443,0,0,Round,Weak
65,0.1494888888888889,0,0,Round,Weak
73,-0.7776333333333334,0,0,Round,Weak
77,0.016600138888888887,0,0,Round,Weak
85,0.2026388888888889,0,0,Round,Weak
89,0.13361111111111112,0,0,Round,Weak
97,0.23596666666666666,0,0,Round,Weak
101,0.20851111111111112,0,0,Round,Weak
105,0.1144611111111111,0,0,Round,Weak
109,0.09597777777777777,0,0,Round,Weak
111,0.16556666666666667,0,0,Round,Weak
119,0.09612222222222222,0,0,Round,Weak
125,0.13277777777777777,0,0,Round,Weak
127,0.14248888888888891,0,0,Round,Weak
128,-0.03899444444444443,0,0,Round,Weak
132,0.19944444444444445,0,0,Round,Weak
13,0.05877649528032278,1,0,Precise,Weak
17,0.01744945135713553,1,0,Precise,Weak
21,0.044053682737691724,1,0,Precise,Weak
24,0.10829428108590265,1,0,Precise,Weak
35,0.08779072803620043,1,0,Precise,Weak
39,0.07330454460188074,1,0,Precise,Weak
40,0.05831795203742248,1,0,Precise,Weak
44,0.045929540433530265,1,0,Precise,Weak
48,0.12209299647385818,1,0,Precise,Weak
52,0.11974339315798316,1,0,Precise,Weak
56,0.0821750128327206,1,0,Precise,Weak
59,0.06304061931594585,1,0,Precise,Weak
64,0.0533189214984113,1,0,Precise,Weak
67,0.06436141299632986,1,0,Precise,Weak
75,0.04352743252241622,1,0,Precise,Weak
83,0.020862309447150274,1,0,Precise,Weak
91,0.05273549143525991,1,0,Precise,Weak
95,0.1291244213766808,1,0,Precise,Weak
99,0.17414689363496588,1,0,Precise,Weak
103,0.13913915644372812,1,0,Precise,Weak
117,0.05984297283548021,1,0,Precise,Weak
120,0.06129049599904801,1,0,Precise,Weak
123,0.08991214610990719,1,0,Precise,Weak
126,0.19787552794217034,1,0,Precise,Weak
129,0.058240261075329286,1,0,Precise,Weak
134,0.07094901557952454,1,0,Precise,Weak
135,0.1307964312473409,1,0,Precise,Weak
8,0.4905222222222222,0,1,Round,Strong
16,0.5315555555555556,0,1,Round,Strong
20,0.36944444444444446,0,1,Round,Strong
23,0.5361,0,1,Round,Strong
28,0.3521222222222222,0,1,Round,Strong
34,0.4119611111111111,0,1,Round,Strong
36,0.42193333333333327,0,1,Round,Strong
42,0.37166666666666665,0,1,Round,Strong
45,0.2086611111111111,0,1,Round,Strong
51,0.48055555555555557,0,1,Round,Strong
55,0.3145833333333333,0,1,Round,Strong
60,0.4638555555555555,0,1,Round,Strong
68,0.5400944444444444,0,1,Round,Strong
69,0.3721777777777778,0,1,Round,Strong
70,0.22388888888888892,0,1,Round,Strong
82,-0.8080555555555555,0,1,Round,Strong
86,0.5184277777777777,0,1,Round,Strong
90,0.42586666666666667,0,1,Round,Strong
94,0.42165555555555556,0,1,Round,Strong
98,0.2853,0,1,Round,Strong
106,0.2950888888888889,0,1,Round,Strong
108,0.43194444444444446,0,1,Round,Strong
110,0.4713944444444445,0,1,Round,Strong
114,0.04825555555555553,0,1,Round,Strong
115,-13.258466666666665,0,1,Round,Strong
122,0.2653111111111111,0,1,Round,Strong
130,0.3672333333333333,0,1,Round,Strong
133,0.34142222222222224,0,1,Round,Strong
4,0.37059338351159,1,1,Precise,Strong
6,-0.4885957567193461,1,1,Precise,Strong
11,0.17666363201579408,1,1,Precise,Strong
14,0.26738319633880026,1,1,Precise,Strong
18,0.4293142976065039,1,1,Precise,Strong
30,0.2935621111483874,1,1,Precise,Strong
31,0.4392970660215352,1,1,Precise,Strong
32,0.31798330183762424,1,1,Precise,Strong
37,0.23480076517509005,1,1,Precise,Strong
46,0.30944520147184457,1,1,Precise,Strong
53,0.34937790010086517,1,1,Precise,Strong
57,0.3561551625724424,1,1,Precise,Strong
63,0.2592202670862779,1,1,Precise,Strong
66,0.24118990991756867,1,1,Precise,Strong
76,0.4489486579269031,1,1,Precise,Strong
84,0.4048868715306893,1,1,Precise,Strong
88,0.2855147706516836,1,1,Precise,Strong
92,0.21222068179635997,1,1,Precise,Strong
100,0.03839298959411297,1,1,Precise,Strong
104,0.3641814656627011,1,1,Precise,Strong
107,0.23489072115480203,1,1,Precise,Strong
112,0.31548008924297777,1,1,Precise,Strong
113,-0.6269019614523489,1,1,Precise,Strong
116,0.23194021344588484,1,1,Precise,Strong
121,0.5950317000095483,1,1,Precise,Strong
124,0.2709205768916802,1,1,Precise,Strong
